x coordinate,y coordinate,z coordinate,Wifi ID,Wifi RSS
23.0,84.0,2.0,00:f8:2c:1b:fb:8d,-40
23.0,84.0,2.0,00:f8:2c:1b:fb:8e,-41
23.0,84.0,2.0,00:f8:2c:1b:fb:80,-53
23.0,84.0,2.0,00:f8:2c:1b:fe:a5,-65
23.0,84.0,2.0,80:02:9c:1a:f2:cf,-69
23.0,84.0,2.0,54:8a:ba:dc:37:cd,-70
23.0,84.0,2.0,00:b6:70:94:cb:09,-71
23.0,84.0,2.0,54:8a:ba:dc:37:cc,-71
23.0,84.0,2.0,54:8a:ba:dc:37:ce,-71
23.0,84.0,2.0,00:b6:70:94:cb:00,-72
23.0,84.0,2.0,00:b6:70:94:cb:06,-72
23.0,84.0,2.0,54:8a:ba:dc:37:cb,-72
23.0,84.0,2.0,54:8a:ba:dc:37:c2,-72
23.0,84.0,2.0,00:b6:70:94:cb:0b,-74
23.0,84.0,2.0,00:b6:70:94:cb:0d,-75
23.0,84.0,2.0,00:b6:70:94:cb:08,-75
23.0,84.0,2.0,58:d6:97:65:75:6c,-75
23.0,84.0,2.0,00:b6:70:94:cb:0c,-76
23.0,84.0,2.0,00:b6:70:94:cb:09,-77
23.0,84.0,2.0,18:8b:45:08:92:4c,-77
23.0,84.0,2.0,00:b6:70:94:cb:0e,-78
23.0,84.0,2.0,54:8a:ba:db:92:a0,-79
23.0,84.0,2.0,54:8a:ba:dc:eb:6c,-79
23.0,84.0,2.0,54:8a:ba:dc:eb:6e,-79
23.0,84.0,2.0,18:8b:45:08:92:4b,-79
23.0,84.0,2.0,54:8a:ba:dc:eb:6d,-80
23.0,84.0,2.0,54:8a:ba:dc:eb:6b,-80
23.0,84.0,2.0,18:8b:45:08:92:4d,-80
23.0,84.0,2.0,18:8b:45:08:92:4a,-80
23.0,84.0,2.0,00:f8:2c:1b:fe:ae,-80
23.0,84.0,2.0,18:8b:45:08:92:4f,-81
23.0,84.0,2.0,00:f8:2c:1b:fe:ad,-81
23.0,84.0,2.0,00:f8:2c:1b:fe:af,-81
23.0,84.0,2.0,18:8b:45:08:92:45,-81
23.0,84.0,2.0,54:8a:ba:dc:eb:61,-82
23.0,84.0,2.0,18:8b:45:08:92:49,-82
23.0,84.0,2.0,00:f8:2c:1b:fe:ac,-82
23.0,84.0,2.0,00:f8:2c:1b:fe:aa,-82
23.0,84.0,2.0,00:f8:2c:1b:fe:ab,-82
23.0,84.0,2.0,18:8b:45:08:92:42,-82
23.0,84.0,2.0,80:02:9c:1a:f3:68,-86
23.0,84.0,2.0,00:f8:2c:19:2b:ef,-88
23.0,84.0,2.0,00:f8:2c:19:2b:eb,-90
23.0,84.0,2.0,00:f8:2c:19:2b:ed,-90
23.0,84.0,2.0,00:f8:2c:19:2b:ea,-90
23.0,84.0,2.0,00:f8:2c:19:2b:ec,-90
59.0,84.0,2.0,00:f8:2c:1b:fe:af,-41
59.0,84.0,2.0,00:f8:2c:1b:fe:ad,-41
59.0,84.0,2.0,00:f8:2c:1b:fe:ae,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:ac,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:ab,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:aa,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:a5,-49
59.0,84.0,2.0,58:ef:68:58:76:95,-53
59.0,84.0,2.0,80:02:9c:1a:f2:cf,-57
59.0,84.0,2.0,18:8b:45:08:92:4f,-63
59.0,84.0,2.0,18:8b:45:08:92:4b,-64
59.0,84.0,2.0,18:8b:45:08:92:4c,-64
59.0,84.0,2.0,18:8b:45:08:92:4d,-64
59.0,84.0,2.0,18:8b:45:08:92:4a,-64
59.0,84.0,2.0,00:f8:2c:1b:fb:8d,-67
59.0,84.0,2.0,00:f8:2c:1b:fb:8e,-68
59.0,84.0,2.0,00:f8:2c:1b:fb:8c,-68
59.0,84.0,2.0,18:8b:45:08:92:45,-71
59.0,84.0,2.0,18:8b:45:08:92:44,-71
59.0,84.0,2.0,b4:75:0e:4f:4e:62,-72
59.0,84.0,2.0,00:f8:2c:1b:f2:2c,-75
59.0,84.0,2.0,00:f8:2c:1b:f2:2d,-75
59.0,84.0,2.0,00:f8:2c:19:2b:ea,-76
59.0,84.0,2.0,00:f8:2c:1b:f2:2e,-76
59.0,84.0,2.0,00:f8:2c:19:2b:ed,-77
59.0,84.0,2.0,00:f8:2c:19:2b:ec,-77
59.0,84.0,2.0,00:2a:10:4c:ca:ee,-77
59.0,84.0,2.0,00:2a:10:4c:ca:ec,-77
59.0,84.0,2.0,00:f8:2c:19:2b:eb,-78
59.0,84.0,2.0,00:2a:10:4c:ca:ed,-78
59.0,84.0,2.0,00:f8:2c:1b:f2:22,-78
59.0,84.0,2.0,b4:75:0e:4f:4e:61,-78
59.0,84.0,2.0,20:c9:d0:1d:e8:41,-78
59.0,84.0,2.0,04:d9:f5:da:74:78,-79
59.0,84.0,2.0,00:f8:2c:1b:f2:20,-79
59.0,84.0,2.0,84:f1:47:6e:83:42,-80
59.0,84.0,2.0,84:f1:47:6e:83:44,-80
59.0,84.0,2.0,84:f1:47:6e:83:4c,-80
59.0,84.0,2.0,20:c9:d0:1d:e8:42,-80
59.0,84.0,2.0,12:13:fa:8c:82:f8,-81
59.0,84.0,2.0,70:18:a7:14:b4:2e,-82
59.0,84.0,2.0,00:2a:10:4c:ca:e0,-82
59.0,84.0,2.0,4c:a6:4d:7d:ce:09,-82
59.0,84.0,2.0,4c:a6:4d:7d:ce:0f,-82
59.0,84.0,2.0,84:f1:47:6e:88:cd,-82
59.0,84.0,2.0,70:18:a7:14:b4:2c,-82
59.0,84.0,2.0,4c:a6:4d:7d:ce:0d,-83
59.0,84.0,2.0,4c:a6:4d:7d:ce:0c,-83
59.0,84.0,2.0,4c:a6:4d:7d:ce:0b,-83
