x coordinate,y coordinate,z coordinate,Wifi ID,Wifi RSS
23.0,84.0,2.0,00:f8:2c:1b:fb:8d,-40
23.0,84.0,2.0,00:f8:2c:1b:fb:8e,-41
23.0,84.0,2.0,00:f8:2c:1b:fb:80,-53
23.0,84.0,2.0,00:f8:2c:1b:fe:a5,-65
23.0,84.0,2.0,80:02:9c:1a:f2:cf,-69
23.0,84.0,2.0,54:8a:ba:dc:37:cd,-70
23.0,84.0,2.0,00:b6:70:94:cb:09,-71
23.0,84.0,2.0,54:8a:ba:dc:37:cc,-71
23.0,84.0,2.0,54:8a:ba:dc:37:ce,-71
23.0,84.0,2.0,00:b6:70:94:cb:00,-72
59.0,84.0,2.0,00:f8:2c:1b:fe:af,-41
59.0,84.0,2.0,00:f8:2c:1b:fe:ad,-41
59.0,84.0,2.0,00:f8:2c:1b:fe:ae,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:ac,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:ab,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:aa,-42
59.0,84.0,2.0,00:f8:2c:1b:fe:a5,-49
59.0,84.0,2.0,58:ef:68:58:76:95,-53
59.0,84.0,2.0,80:02:9c:1a:f2:cf,-57
59.0,84.0,2.0,18:8b:45:08:92:4f,-63
72.0,110.0,2.0,84:f1:47:6d:7b:4c,-58
72.0,110.0,2.0,84:f1:47:6d:7b:4b,-59
72.0,110.0,2.0,84:f1:47:6d:7b:4d,-59
72.0,110.0,2.0,84:f1:47:6d:7b:4e,-59
72.0,110.0,2.0,58:bc:27:92:80:70,-60
72.0,110.0,2.0,58:bc:27:92:80:71,-60
72.0,110.0,2.0,58:bc:27:92:80:7f,-64
72.0,110.0,2.0,00:f8:2c:19:7a:6d,-65
72.0,110.0,2.0,00:f8:2c:19:7a:6e,-66
72.0,110.0,2.0,84:f1:47:6d:7b:44,-70
72.0,113.0,2.0,84:f1:47:6d:7b:4c,-58
72.0,113.0,2.0,84:f1:47:6d:7b:4b,-59
72.0,113.0,2.0,84:f1:47:6d:7b:4d,-59
72.0,113.0,2.0,84:f1:47:6d:7b:4e,-59
72.0,113.0,2.0,58:bc:27:92:80:70,-60
72.0,113.0,2.0,58:bc:27:92:80:71,-60
72.0,113.0,2.0,58:bc:27:92:80:7f,-64
72.0,113.0,2.0,00:f8:2c:19:7a:6d,-65
72.0,113.0,2.0,00:f8:2c:19:7a:6e,-66
72.0,113.0,2.0,84:f1:47:6d:7b:44,-70
89.0,120.0,2.0,d4:ad:71:67:73:81,-41
89.0,120.0,2.0,d4:ad:71:67:73:82,-41
89.0,120.0,2.0,d4:ad:71:67:73:80,-42
89.0,120.0,2.0,d4:ad:71:67:73:83,-42
89.0,120.0,2.0,d4:ad:71:67:73:8d,-43
89.0,120.0,2.0,d4:ad:71:67:73:8e,-44
89.0,120.0,2.0,d4:ad:71:67:73:8c,-45
89.0,120.0,2.0,70:18:a7:14:79:6f,-46
89.0,120.0,2.0,70:18:a7:14:79:61,-51
89.0,120.0,2.0,e4:c3:2a:3b:91:7a,-52
89.0,124.0,2.0,70:18:a7:14:79:6f,-36
89.0,124.0,2.0,70:18:a7:14:79:61,-37
89.0,124.0,2.0,d4:ad:71:6a:e8:6e,-50
89.0,124.0,2.0,d4:ad:71:6a:e8:6d,-50
89.0,124.0,2.0,d4:ad:71:6a:e8:6c,-50
89.0,124.0,2.0,0c:51:01:e7:9e:4c,-52
89.0,124.0,2.0,48:f8:b3:b8:21:cb,-55
89.0,124.0,2.0,d4:ad:71:6a:e8:60,-56
89.0,124.0,2.0,d4:ad:71:6a:e8:62,-56
89.0,124.0,2.0,d4:ad:71:6a:e8:63,-56
89.0,128.0,2.0,d4:ad:71:6a:e8:6e,-43
89.0,128.0,2.0,d4:ad:71:6a:e8:6d,-43
89.0,128.0,2.0,70:18:a7:14:79:6f,-44
89.0,128.0,2.0,70:18:a7:14:79:61,-51
89.0,128.0,2.0,d4:ad:71:6a:e8:60,-51
89.0,128.0,2.0,0c:51:01:e7:9e:4c,-54
89.0,128.0,2.0,c4:b3:01:de:52:8f,-57
89.0,128.0,2.0,d4:ad:71:67:73:80,-58
89.0,128.0,2.0,d4:ad:71:67:73:81,-59
89.0,128.0,2.0,d4:ad:71:67:73:82,-59
89.0,132.0,2.0,d4:ad:71:6a:e8:6e,-37
89.0,132.0,2.0,d4:ad:71:6a:e8:60,-37
89.0,132.0,2.0,d4:ad:71:6a:e8:61,-37
89.0,132.0,2.0,d4:ad:71:6a:e8:62,-37
89.0,132.0,2.0,d4:ad:71:6a:e8:63,-37
89.0,132.0,2.0,d4:ad:71:6a:e8:6d,-38
89.0,132.0,2.0,42:23:43:d8:39:86,-43
89.0,132.0,2.0,0c:51:01:e7:9e:4c,-48
89.0,132.0,2.0,70:18:a7:14:79:6f,-55
89.0,132.0,2.0,0c:51:01:e7:9e:4d,-58
86.0,133.0,2.0,d4:ad:71:6a:e8:6e,-37
86.0,133.0,2.0,d4:ad:71:6a:e8:60,-37
86.0,133.0,2.0,d4:ad:71:6a:e8:61,-37
86.0,133.0,2.0,d4:ad:71:6a:e8:62,-37
86.0,133.0,2.0,d4:ad:71:6a:e8:63,-37
86.0,133.0,2.0,d4:ad:71:6a:e8:6d,-38
86.0,133.0,2.0,42:23:43:d8:39:86,-43
86.0,133.0,2.0,0c:51:01:e7:9e:4c,-48
86.0,133.0,2.0,70:18:a7:14:79:6f,-55
86.0,133.0,2.0,0c:51:01:e7:9e:4d,-58
93.0,120.0,2.0,d4:ad:71:6b:14:ce,-48
93.0,120.0,2.0,d4:ad:71:6b:14:c0,-53
93.0,120.0,2.0,00:2f:5c:69:0d:0f,-53
93.0,120.0,2.0,00:2f:5c:69:0d:0e,-53
93.0,120.0,2.0,e4:c3:2a:3b:91:7b,-56
