x coordinate,y coordinate,z coordinate,Wifi ID,Wifi RSS
54.5,39.5,2.0,00:f8:2c:19:2b:e5,-60
54.5,39.5,2.0,00:f8:2c:19:2b:eb,-66
54.5,39.5,2.0,00:f8:2c:19:3b:81,-69
54.5,39.5,2.0,00:f8:2c:18:f8:81,-70
54.5,39.5,2.0,00:f8:2c:19:3b:80,-70
54.5,39.5,2.0,00:f8:2c:19:2b:ed,-70
54.5,39.5,2.0,00:f8:2c:18:f8:80,-71
54.5,39.5,2.0,00:f8:2c:19:3b:82,-71
54.5,39.5,2.0,00:f8:2c:19:2b:ea,-71
54.5,39.5,2.0,18:8b:45:08:92:42,-71
54.5,39.5,2.0,18:8b:45:08:92:41,-71
54.5,39.5,2.0,18:8b:45:08:92:44,-71
54.5,39.5,2.0,00:f8:2c:19:2b:ef,-71
54.5,39.5,2.0,00:f8:2c:19:2b:ec,-71
54.5,39.5,2.0,00:f8:2c:18:f8:82,-72
54.5,39.5,2.0,00:f8:2c:1b:fe:a3,-73
54.5,39.5,2.0,00:f8:2c:1b:fe:a4,-73
54.5,39.5,2.0,00:f8:2c:1b:fe:a5,-73
54.5,39.5,2.0,00:f8:2c:1b:fb:82,-75
54.5,39.5,2.0,00:f8:2c:1b:fb:81,-75
54.5,39.5,2.0,00:f8:2c:1b:fb:80,-76
54.5,39.5,2.0,00:f8:2c:1b:fb:8e,-76
54.5,39.5,2.0,00:f8:2c:1b:fb:8d,-76
54.5,39.5,2.0,b4:75:0e:66:6a:d0,-78
54.5,39.5,2.0,18:8b:45:08:92:4a,-78
54.5,39.5,2.0,18:8b:45:08:92:4d,-78
54.5,39.5,2.0,18:8b:45:08:92:4c,-78
54.5,39.5,2.0,18:8b:45:08:92:4f,-78
54.5,39.5,2.0,00:f8:2c:19:3a:61,-79
54.5,39.5,2.0,00:f8:2c:19:3a:62,-79
54.5,39.5,2.0,00:f8:2c:19:3a:60,-79
54.5,39.5,2.0,54:75:95:73:ee:1d,-79
54.5,39.5,2.0,18:8b:45:08:92:4b,-79
54.5,39.5,2.0,00:f8:2c:18:f8:8e,-82
54.5,39.5,2.0,d4:6e:0e:4c:f3:70,-82
54.5,39.5,2.0,00:f8:2c:1b:fe:ad,-83
54.5,39.5,2.0,00:f8:2c:1b:fe:af,-83
54.5,39.5,2.0,00:f8:2c:18:f8:8d,-84
54.5,39.5,2.0,00:f8:2c:1b:fe:ae,-84
54.5,39.5,2.0,84:5d:d7:de:00:70,-86
54.5,39.5,2.0,84:f1:47:6e:9d:0b,-86
